label,review
1,"Excelente Compilación de lo mejor de Caifanes . Debido a los otros comentarios al respecto de este disco quiero aclarar que Caifanes NO es lo mismo que Jaguares. Son dos grupos diferentes ya que en Caifanes la guitarra estaba en primer plano. El unico pero que le pongo a este CD es que solo incluyeron 2 canciones del MTV Unplugged. Me hubiera gustado que incluyeran todo el MTV unplugged en el segundo disco. Las guitarras de Marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que no hay ""overdubbing"" (Regrabaciones). Un buen disco para empezar. Estoy seguro que si este es el primer disco de Caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que no se incluyen de los otros discos."
0,Not prepared as an ebook . This book has two stories writen at the same time. In the original pbook format one story was written in left pages and the other in the right pages. But this is all lost in the Kindle and its very complicated to follow the story. I can not uderestand how they dare to sell a product not propared to be used properlly by its readers.
0,"Thanks for the 1960s home movie Ken Burns . The documentary is typical Ken Burns... interesting, but a little meandering at times.The real shame of this version is the grainy video that is painfully apparent on a large HD display. Burns' panned still images are crystal clear showing every blemish and fold of the old photographs but his shots of the majestic scenery in the parks are marred by his poor choice of camera and film. I will say the soundtrack is fairly well done even if Peter Coyote (narrator) is a little dry.Do not bother with the blu ray version, you will not get anything more than the standard DVD version with this series."
0,"not nearly as good as the first series . This book is nowhere near as good as the the first series! It SERIOSLY LACKS EXEMENT!In other words don't buy it, if you really want to read it, get it from the libray. I would not recomend it to anybody."
1,"HARRISON FORD AT HIS VERY BEST! WITNESS RULES! . ""WITNESS"" is about Ford and an Amish boy who witnesses a murder. Now, the Amish don't beleive in killing and guns - and to have their child see that sort of stuff is just terrible. Now, men who were involved in the murder are out to murder THE AMISH BOY! Suspenseful and red - blooded, ""WITNESS"" is an awsome film! I loved it and I bet anyone will, too! ENJOY!"
1,"Excellently Drawn Characters . Nina's characters are complex and drawn well, it is evident that she took some time to think about her character's motivations. If I were a writer I might have written the ending differently, but that is okay, my book club talked about this one for awhile. A good exploration of the line between admiring someone and stalking and a bold exploration of the dark side of behavior. If you are looked for a well plotted, interesting story, this is for you. It is not one of those books with lots of sex and no plot as you might think at first. I was pleasantly surprised and look forward to whatever Ms. Foxx has up her sleeve next."
1,it's nice . I've saved a lot of space by hanging my shoes up with this. For heavier shoes you have to use more than one hanger though
1,"One of the best albums I've owned. . A few years back my father got me hooked on this album. It was the first cd I ever owned. An ex-girlfriend liked it so much that after we broke up she declared that cd was not coming with me.I couldn't blame her. The mix of blues and spirituals with Cooder's unique playing makes this one the most intesting albums I own. The medley of ""Feeling Good"" and ""Fool for a Cigarette"" is one of my favorites as well as balads like ""Mexican Divorce"" and ""Jesus on the Main Line"".The album also has some songs that keep it from taking itself too seriously. The song ""If Walls Could Talk"" has a catchy riff and great words.Cooder's great acoustic style shines through on what was a break-through album of the time and holds up years later. I always hear something that I missed on previous listenings.Although you don't need to be a guitar player to appreciate this album, every acoustic player should hear the fine guitar work. Enjoy!"
1,Great for making dough . I ordered this bread machine for a vacation home that we own. I have a Cuisinart at my year-round home and it just has too many bells and whistles that I never use - and cost a lot more. The Sunbeam makes a great dough and was a great price.
0,"Mac Owners Beware . My wife purchased a Rocket ebook for me for Christmas. She started here at Amazon. She carefully checked the Rocket web site as well, and spoke to the folks that make the Rocket. She was assured that everything required to use the Rocket with a Mac was included. Wrong! Any Mac currently being made or made during the past year or so requires a Keyspan connector between the e-book and the Mac USB slot. This costs $80. It is not mentioned in any documentation that comes with the ebook. It took me more than an hour to get through to the company. At first they responded by saying it was at their Website and/or in the FAQ section, but we ""went to their Web site together"" while I was on the phone, and they reluctantly conceded that they had mislead the public. The company does literature. Guide provided on the ebook. Regardless of how much I may eventually enjoy this toy, I'll never develop a high regard for NuvoMedia, which makes the Rocket ebook."
0,"a disaster one month at a time . Upon receipt it was dead, after a mixture of e-mailes and phone calls it was determined I needed to use 2 USB cables to power the drive. Since I only have 2 on my laptop, I cant print from the drive. after transfering 10 gig of pictures and 13 gig of mp3's the unit failed the next month. Again emails and phone calls determined my laptop did not have enough power to run the drive. The solution was an AC adapter.....great for a ""portable USB drive"" They said an AC adaptor would be sent...no adapter after 4 weeks now. I tried the drive on 4 other DESKTOPS, plenty of USB power, but no luck. I have lost so much information, pictures, and music and now no emails refering to my ""service number"" are being answered at all.A total lack of customer servive AND knolage of their own product. Think long and hard before dealing with Iogear!!"
0,"Junk . I just got my DVD in today and I tried to watch it but there seems to be nothing on both discs, I have tried it in my DVD player and my computer, nothing is on both discs, nothing will load, I got robbed.If there were something on both discs, i'd give it a high rating, but for now, all i'll give is one star."
1,It is fun and a nice car . It is a nice car - better than a already made car - your son will have fun assemble it will even do some changes and when he finish he can continue playing as if it were a standard car.
0,"Robbery . This is a horrible disc, all of the songs, save one or two, have been reworked. If your looking for a cd to hear bygone favorites, as they were originally done, this is not the disc."
1,Definitely works . Have used this and it definitely gets u going to the potty!! Bye bye water weight! I just don't like that it has to steep for a while...I am impatient.
1,Excellent . All of James Patterson's books (Women's Murder Club) have kept me in suspense. I would be glad to say that it have been a thrill to read them
1,Everyone needs to let it go! . I'm sick of everyone saying Ashlee has no talent. If she had no talent she wouldn't have a record deal. She is only 19 and talks about 19 year old things. People seem to forget that she has been on tv for 2 years and that is why people already know her. I appreciate her music b/c it is her music. She's more than many musicians today-she's writing the lyrics rather than singing other people's songs. The album is good. Quit putting her down and appreciate her for her hard work! She sings a lot better than other musicians you all like!
0,"Not even ok. . I'm a pilot, and I'm giving up on this product. I've been trying to use it, calibrate it, get it to respond somewhat close to the way a real aircraft responds, and it just doesn't work. It is possible I'm doing something wrong, but it should not take several hours of trying to figure out the right way. I've reduced sensitivity to zero and it still won't respond realistically."
0,"One Minute to Zero . Movie had a great story, but filming methods of that time was not that great. I enjoyed the movie mostly because I had met the stars when they were in Colorado Springs during the filming of some of the movie.I purchased this movie from Amazon."
1,Just like when I was a kid! . I bought this for my daughter when she was almost 2yrs. and she loved it from the start. The music is a little annoying but that is my problem not hers. She has stood on top of it and it has been dropped down the stairs and it still works fine!I would definalty reccomend this toy!
0,Disappointed: . I was disappointed with this book. Since it said Hallelujah on the cover I though it was raw food recipes. I will be giving it away for a gift when I need something for a gift the next time.This book should of never been put with the Hallelujah diet book.
0,"This Muse is a slumber! . Actually, I thought I had ordered the CD of the TV show. Unfortunately, it wasn't. Amazom staff admitted that the pics on the sell page were misleading. We've listened and it's not worth much. Curious how a TV sound track can be so engaging and another CD so trite and shallow. Buyer beware."
0,"Not necessary. . I bought this neck strap WITH my camera, thinking I would be insane not to have a strap to put around my neck.I learned, however, that it really isn't necessary. The Elphs are so tiny that they EASILY fit into your pocket. The other option is to wind the included wrist strap around your wrist. They're so lightweight that you barely notice they're there."
0,"Men with Brooms . If you love the sport of curling, do not watch this movie! The acting is just okay. Don't let your kids watch this movie as there is a lot of profanity in it. The movie isn't awful, but it isn't good either. The curling action is not realistic."
1,"Works great for me . After my last Panasonic Shaver mysteriously disappeared when I moved across the country, I decided to try this one, since the price was so cheap I wouldn't be kicking myself if the other shaver is rediscovered in a moving box somewhere. I have been very pleased with it, and love shaving in the shower with it. Like others, I have found that the neck area requires a little more attention and a few extra passes to get the job done, but well worth it for a close shave with no bleeding. It took over a month for the product to be delivered from Amazon, since they were out of stock when I ordered."
0,"Item doen't work . This UPS never worked from day one when I pluged it up.The lcd display only comes on when it's working off the battery,and I cant get it to charge the battery because it seems like its not seeing the power source it just doesn't work."
0,"Not for burning . Within 20 minutes these candles were completely melted and now my carpet is a mess. More for decoration and with that being the case, these candles are too expensive for what your getting."
1,"Lost . A friend gave me a copy of ""Dresden"" and I watched it many times before giving it back and ordering my own copy. I watched the movie several times for different reasons: 1. History, 2. View from the German side, 3. View from the British side, 4. Acting skills. I love the movie, am impressed with F. Woll's in the main role. I think some scenes were too Hollywood, loved the honesty of the script, not too much violence, but one can start to feel the horror of the bombings and being trapped in cellars and on the ground by the devastating fires. I was a mistake, a big one, History was destroyed as it often is in wars. Did the Germans deserve this so much emotionally human reaction? Yes and No. Not only the Germans or the people of Dresden lost a jewel."
0,"LAME . I agree with the kids review below. This album along with all of their others is garbage. They just keep putting out the same album over and over.Do you really think in 10, 20, even 30 years, people are going to be playing Nickelback CDs and saying, ""Wow they were a great band""? Who goes around blasting Creed, Poison, Cinderella, Ratt, or C&C; Music Factory? This band will be forgotten just like these others.It's textbook rock ballad garbage with no thought or feeling put into the song writing. They have found a formula that somehow sells records and so they've stuck with it. Watch their live performances with Chad's gay permed haircut. Someone should take their instruments away so they won't poison rock music anymore."
1,"Great movie! . This is the epitome of a ""B"" western movie, but it's hilarious! Andy Griffith, Tom Berrenger, Marilou Henner and Selma Ward--all of them did a great job on this!"
1,"Yummy! . These are individually wrapped and there are approximately 15 cookies in each box. They have a nice flavor and are fresh and crispy. The fortunes are standard fortune cookie fare. Very few of these were broken during shipping. I definitely recommend these if you like fortune cookies. They are a low-calorie, low-fat snack. Yummy!"
1,"Great speaker package for the money! . Polk Audio RM6750 5.1 Channel Home Theater Speaker System, Black FinishI have been using this speaker system for about a year with a Sony STR-DG810. I am very pleased with the performance of this package especially at the price point. My friends and family have all been impressed remarking that the system sounds like a movie theater. Bass from sub-woofer is deep and powerful and the center speaker reproduces dialoge beautifully. What is also nice, Polk sells seperate surround speakers so I can make a 6.1 system since my Sony receiver has that capability. Don't worry if you are thinking about RM6750, I have enjoyed mine from the start!"
0,"misleading specs . VA 1/2 inch rotaty files and rasps are not 1/2 inch in diameter. They can be up to 1/16 smaller depending on product number. ie: 16671 is labeled 12.7 mm, yet VA's spec is 12.0 mm, and 16674 is labeled 12.7 mm, yet VA's spec is 11.6 mm"
1,"kfm . I first saw Kentucky Fried Movie when I was 17 years old. I am now 51. A friend of mine mentioned a line from the movie and it was so funny that I went online to buy this movie to show my son and also to see it again with my friends now. It is made up of little skits that are all funny. Maybe a little silly also, but still a good movie to hang out and watch."
1,"Funkin amazing and out there . Like Strayhorn and the Duke, Gil really found someone he could bounce off in the shape of Brian Jackson. His earlier stuff is pure gold, but very droney sometimes... BUT THIS!!!This I never tire of. The songs still sound so vibrant and fresh.The live version of 'home is where the hatred is' has been sampled by masters @ work, and is a muso's dream to get into.'Hello Sunday hello road is one of the grooviest tracks around, and you just can fail to move along and understand the message of 'It's your world.' My Mum used to have the LP, Secrets, with the cats face on the cover. Angel dust is a spacey reincarnation of whats it's like to trip out on the stuff, and the lyrics to showbusiness are more relevent today than ever before.This is one of the best and most valuble compilations of Gils to come out, and is an essential purchase for and funkster and poet."
1,"Great Art, Great Action . Jedis are great and all, but I really enjoy the war aspect of this series. Vol 1 was good, Vol 2 started really picking up in the last section, and Vol 3 really gets to it--War! Its the volumes like this one that make me wish they had a series devoted to Clone Troopers, Republic Commandos, and ARCs (esp Alpha). Good inking and artwork. Straight-forward plot, almost near constant action, and it was good to see the Republic actually defeated here. Nice character development for Anakin. This volume has been my favorite so far...looking forward to getting Vol 4."
0,"Good for stretching, not to get a workout. . I've been to yoga classes where you get more of a workout than this one. This is more like a stretching exercise. My complaint is a lot of the stretches seemed to repeat many times. The equipment required for use to follow the exercise like the block, straps are kinda specialised items you'd have to buy. I tried to substitue with items I can find at home like a step stool, and rope.For a real workout, I prefer the Perfect Pregnancy workout dvd with Karyne Steben."
0,"TERRIBLE ACTING . This movie could have been good, but the acting was SO bad I turned it off after 20 minutes (I can't even believe I watched it that long) I was hoping something would change, the plot was a good, but COULD not even get into any of the characters. I don't recommend this movie."
1,out standing . this item make's my bathroom look like you don't want to leave the room.i wish there were other item's to match the seat. thank you!
1,"Amazing first single!!! . The first single from this album is called ""Through the Rain"". It's like Old Mariah only even better. This is a beautiful ballad which has a similiar theme to ""Hero"" or ""Can't Take That Away"", but is even more incredible. If you liked ""old"" mariah, you will want this album. She does have rappers on it, but they aren't the main focus. It's such a beatiful song and I have heard soooooooooo many good things about this album ~ and not just from fans but from critics too! Go to her official site to listen to Through the Rain http://www.mariahcarey.com"
0,"Awkward and trite, too many cliches for me. . While the subject matter of ""The Last Dive"" is compeling enough to carry its own story line, the author's attempts to interject contrived dialogue is embarrasing and a deteriment to his otherwise skillfull writing. Chowdhury would have been well advised to simply tell the story and not try to animate it with guessed-at dialogue. I came away disliking the ""cowboy-like"" father and son diving team and their tragic demise came as no surprise. Chowdhury's techincal explanations and descrption of the history of the sport are very good. Unfortunately his fictionalizing of the varous conversations is more cartoon than clever."
0,"What a Pervert! . This was a horrible book!Anthony is a sadistic pedophiliac who had been ""watching [the heroine] from afar"". He had even gone so far as to have her tutored in a language he wanted her to speak.It sickened me that the character was made to fall in love with her rapist.""Love"" does not justify rape or whipping a woman or any of the other sick things in this book."
0,"Mitusmi Extrenal USB Floppy Drive . The unit itself seems to be a good unit. However... it is a terrible device for using in Windows 7 Pro. There are no drivers for it, and you can't not get customer support to answers to your correspondence, for it. So if your going to try to use it in Windows 7... for now, for get it."
1,"My dog's favorite toy by far! . I bought the duck for my 5 pound poodle and it became his favorite toy. The sound of the duck scared him though, but the great part is if they don't like it you can just remove it and they still love just the plush toy. It's perfect for even the smallest dogs and can easily be carried around and played with. The design makes it easy for small dogs to get their mouths around to pick up. I would not recommend this for very destructive dogs though as the limbs might get torn off."
0,"Romantic Rape? . I enjoy romance novels. I do not enjoy reading about a woman who is abducted, continually raped, impregnated, and then FALLS IN LOVE with her rapist. I kept reading hoping that he would get his just dessert. But he didn't. She falls in love with him and he gets ""reformed."" ????? The whole time all I could think was--this is called Stockholm Syndrome! I was horrified that this was considered a romance. The rape scenes were graphic and, in many cases, violent.Johanna Lindsey should be ashamed of herself for making rape romantic. It is horrible. DO NOT READ!!!"
0,"Did not live up to the hype; not even close. . I really was disappointed in this book. With all the hype I expected it to be filled with revolutionary ideas and recipes for totally green smoothies. There are a few interesting details such as the thought that our diet should more closely resemble chimps. Basically we should eat more greens. Other than that much of it is hard to believe. There is absolutely NO WAY all those people (first name only) were cured of illnesses by drinking one quart of green smoothies. Sorry... but NO WAY. Please, moles and warts just fell off.... That kind of claim is a total turn off. The recipes are plain old one cup of greens with fruit and ice. So basically eating one cup of spinach a day, ground up, will cure diabetes? Way over rated. I read it in one night and it is definitely not something I would want to keep as a reference for anything. Get it out of the library."
1,"It's the unthinkable! . The only reason that I am giving 4 stars is because the author did not list all the victims of Dr. SHipman's unsuspected reign of terror in Lancashire. In his long career, he probably killed at least 200 victims--men, women, children, for no apparent reason until he was stopped by the law. Sadly, I cannot stop thinking about all the victims who had dreams to see Israel, cruise, grow up, or old with their loved ones in Lancashire. Dr. Shipman was supposed to be respected and trusted with their lives; he killed his beloved patients without such motives at all. The book is an easy read unless you're trying to find out the victims and give them a proper memorial. This book is for those victims and their families! Maybe we can learn from what happened in Lancashire!"
0,"Love him but this a terrible movie . The characters never really fully develop and, it's a dark miserable story with people running, crying, screaming, at times you need to stop and say to yourself what's going on. I felt nothing for him as a character neither did I feel anything for any of them, I wasn't socked I was bored.It's OK to watch on an airplane ride so you can fall asleep...from 1 to 10 I give a 5"
0,"Great for baby bonding, bad for SIDS aspect. . I was very excited about this book, until my baby died of SIDS. I think it has some great info. on breastfeeding, etc., but the chapter on SIDS is simply incorrect.The author, like Dr. Sears, is a huge bed sharing advocate. The US Comsumer Product Safety Commission, just concluded a 8 year study that strongly advises against bed sharing to reduce SIDS. The American Academy of Pediactrics and US Public Health Svc. back up this study. Since our loss, it's important to me that the correct info. gets circulated. See the SIDS Alliance web page for more information about SIDS."
1,"Pedco Digital Ultrapod II . This is a really nice accessory for any photographer. It fully supports my ""tweener"" camera even while fully zoomed. It is extremely lightweight and durable. The strap is a great feature - I have strapped the tripod to railings, benches, tree branches, etc. It is easy to attach to my camera and has complete range of motion. I take it with me every time I grab my camera."
1,"Classic Soulful Cuts . this is a Compilation that you can share with your Love One or just chill to.the isley Brothers,Intruders,Sly&The Family Stone,Tyrone Davis,Gladys Knight&the Pips among others make this a very Soulful Collection."
1,"Very helpful. . I ordered this to accompany the Pimsleur Language Russian program, as Pimsleur, although very powerful for learning to speak, has little more than a pamphlet to teach you to read. So, I picked this up, and it is very handy. It has made the process of learning to read fairly easay and enjoyable.I would have rated this a 3, however, because you lose a LOT of the meat of the book if you don't have the audio recordings, which aren't included in the book. At least, they weren't with mine. However, I poked around online and found that they're available for download off this website:http://mllc.utsa.edu/troika/student/mp3.htmI don't know how long that site will be up, but if you intend to use this book to teach yourself to read and speak, those MP3s will be invaluable."
0,"Not as it looks! . Heart pendant does not look as pretty as in the picture, there's this gold topaz covering on both sides that totally ruins the look of the normal Swarovski crystal, in other words, no colors shine at all. Same thing in on other sites for like $1. Speedy delivery was the only positive."
1,"I LIKE IT!!! . I love the compactness of this waterpik. I had the larger one and this one is far more convenient. You don't have to invert the reservoir and the power of the jet is actually stronger than the bigger model. Granted, the smaller amount of liquid in the reservoir was a little disappointing, but I just keep another cup ready to refill it while I am still using the pik. It is definitely easy to use and, of course, that means it will be used more often and the check ups at the dentist attest to the positive impact it has. I most often use a salt & warm water solution and it works great."
0,"This book is the worst I've read. . I make candles and export them for a living. I read a lot of wax candle and gel candle making books ... ! It doesn't fit for anyone one at all, be it an amateur or an intermediate level crafter. Believe me, it's best for you to avoid buying this book. It's not worth your money and time reading."
0,"BAD BAD BAD!!!! . This CD IS TERRIBLE!!!! IF YOU'VE EVER SEEN THE COMMERCIAL FOR ""KIDS BOP"" ITS ALMOST THE SAME THING!!! NONE OF THE ORIGANAL ARTISTS!!! ALL DONE BY ""THE HIT CREW"" !!! THE TITLE OF THE PAGE SAYS ""VARIOUS ARTISTS"" WHICH MEANS MANY DIFFERENT ARTISTS AND IT WAS ALL ONE STUPID BAND CALLED ""THE HIT CREW""!!! DONT BUY IT!!! IT IS TERRIBLE!!!"
1,recorder book . Granddaughter is not very good at reading music so I hope this book will help guide her when she needs it.
0,"Huge letdown . I can't understand all of the good reviews for this film, which I found to be a huge disappointment. Bad performances, coupled with awful direction and hackneyed, cliched writing puts this on my list of films to avoid. The film obviously tried to capitalize on Muniz's rising star power among youngsters and families, but offered little substance for this film to endure. There is never an indication at what makes this dog so special. And it' hard to believe that only two dogs were used for Skip; his appearance changes quite frequently throughout the film.If you want a recent ""uplifting"" family film, opt for ""The Sandlot."""
0,"Bad Design . What a terrible accessory!- The strap that latches the case keeps getting on the way when trying to write.- The Palm V can't fit on the hotsynch craddle without removing the case. What a pain!- It adds quite a bit of builkiness to the Palm V, making it harder to carry it on a shirt or jacket pocket.I need to find an alternative somehow...I wish my original standard cover hadn't broken..."
1,"The art of steve hanks . I type in steve hanks and up comes Wayne Gretzky, however underneath it mentions the book I want but I can't get to it. The author is Steve Hanks. The name of the book is The Art of Steve Hanks"
0,"Thank god I got this from the library... . First the disclaimers: I only read the first 100 pages and I'm a pretty extreme left winger on social issues.I never imagined this book could be so awful. It is essentially a package to present mindless blathering on political issues and uses every canned cliche of the ""liberal media."" I couldn't finish it. I'm so irritated by this book I'm venting it out here rather than waiting a bit and crafting a more decent review.I really enjoyed the entire Ender series and generally have found OSC's other books at least passably readable. However, I seriously doubt I will ever consider picking up another of his books without first getting some glowing recommendations."
0,no stars . dont buy piece of junk barly shaves anything dont waste your money or beard. have better luck picking hair with twessers. and thats a fact so please dont buy
0,"The History of Morrisville as seen through the eyes of a pedophile. . This guy has been accused of molesting students. Something he forgot to mention in his history of the town.From the Burlington Free Press:""In the spring, (Superintendent) Wrend placed Bryer on administrative leave but never reported him to the Vermont Education Department for possible license suspension. In a letter, she threatened to seek suspension unless Bryer agreed to discuss leaving the district.He complied and signed an agreement guaranteeing him full pay during his three-month leave, a job reference and a promise from school officials to frame his departure in ""positive"" terms. In exchange, Bryer agreed to resign effective June 30 and not sue the district.He quickly found a teaching job in Colchester.""Read more: [...]This is how Morrisville has been dealing with these problems for decades. That would have made one hell of a chapter in his book."
0,"Mistico Mess . Cacaphony and melodic mush. This album was very disappointing. As a lover of fusion, jazz, rock, worldbeat....music in general, this album requires a lot of patience to feel where the musicians were going. It's a clashing discordant ball of disappointed listening. And I WANTED to like it!"
0,"Nice Features, poor quality sound. . This Apex seems to be a fine unit, except the sound quality on the DVD side is quite poor. Quality otherwise has been good, unlike some of the previous reviews. Have they improved these, or did I just get a good one?"
0,"DREADFUL!! . For those of you who rated this one highly, here's one of ....We have a bent lawyer who unknowingly has 2 CIA agents posing in his office. There are a multitude of hidden cameras filming the lawyer day and night and yet when he goes to the prison the CIA only put a mic in his briefcase which ... is supposed to be as big as a golf ball in this day and age. All the time reading it I was thinking, why haven't they wired him all over? A team of crack CIA operatives are watching this pathetic drunk and yet he eludes him - but still ... for some unfathomable reason. while the real 'crooks' somehow don't get knocked off by the CIA and in the bargain get 2 million dollars each. It's bloody rubbish!!! And childish. In fact, the plot would insult a 12 year old.No star. Dreadful!!"
0,"Do not buy this DVD under any circumstances. . The movie is one of the all-time best horror films ever made. This DVD is a shining example of why you should do progressive transfers. Awful hazy non-progressive transfer may be animorphic... but it's filled with every bad video artifact you can think of (ghosting, combing, it's awfully blurry too). Do yourself a favor and buy the Collector's Edition from amazon.co.uk. It has a much better transfer, DTS sound and cool extras. Skip this."
0,"Poor stalk, worse handle . One of my biggest requirements when buying an umbrella is that it be one of substance. The handle should be weighty, the stalk should be solid and able to withstand high winds.Unfortunately, this umbrella turned out not to have either of those qualities. The handle was quite small. Typically, a handle should at least be as long as my hand is wide. This handle was about half that, which provided for very poor grip in high wind situations. The stalk also felt like hollow aluminum, not confidence inspiring at all.I returned this umbrella, I would never buy it again."
0,"Absolute Garbage . There are many things wrong with this keyboard, in the first that it's a novel concept, and was directed to be a 'keyboard' marketed towards gamers. I fell for the advertising and spent the first few hours messing with the various configurations and being in awe of the keymapping, but in the end you are still left with a very sub-par product - a rubber dome based keyboard, with folding gimmick top half.It would constantly disconnect from the computer, the drivers had to be reinstalled for it to respond again, it didn't exactly 'work' during bootup other, which forced me to fetch an older keyboard and use that to install Windows..Overall a very shoddy product. If you want a solid gaming keyboard for your money that won't die on you every 15 minutes after two days of ownership, strongly consider a Das Keyboard. It's what I'm writing this review on right now, and I've owned it for more than a year, a long time after I've thrown away the worthless Zboard as well."
1,"Great product . Works exactly as stated, you can also you the cord to connect directly to your PC which give it multiple purposes which is great in any product."
1,"Essential utility . I use this on a Jornada 525, and I must say you really need that if you want to avoid scrapes on you handheld.But it is not so easy to assemble without making fngerprints on the display (I started using gloves for that). Also the instruction are not so clear. There would be some words helpful.And they are a little to expensive for my taste."
